Timestamp,Who are you? (Please provide a fake name),What is your favourite cafe on campus?,What is your favourite Asian food on campus?,What's the best pizza on campus?,Best burritos?,Best healthy food?
2017/11/30 8:28:50 PM PST,Shrek,Mackenzie Cafe,Ichibankan Express,Club Ilia,Guadalupe (MBC),Steve's Poke Bar
2017/11/30 8:29:03 PM PST,Buzz,Tim Horton's,Ichibankan Express,Uncle Fatih's,Guadalupe (MBC),Chopped Leaf
2017/12/01 11:16:28 AM PST,Anna,Starbucks,Noodle Waffle Cafe,Uncle Fatih's,Quesada (Cornerstone),Subway
2017/12/01 11:16:56 AM PST,Elsa,Mackenzie Cafe,Bamboo Garden,Club Ilia,Quesada (Cornerstone),Chopped Leaf
2017/12/01 11:17:26 AM PST,Snowman,Mackenzie Cafe,Ichibankan Express,Uncle Fatih's,Guadalupe (MBC),Steve's Poke Bar
